Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:31:15)
Fra:1 Mem:18.35M (Peak 18.35M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.011
Fra:1 Mem:18.36M (Peak 18.36M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.012
Fra:1 Mem:18.36M (Peak 18.36M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.014
Fra:1 Mem:18.36M (Peak 18.36M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.015
Fra:1 Mem:18.36M (Peak 18.36M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.016
Fra:1 Mem:18.36M (Peak 18.36M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.017
Fra:1 Mem:18.36M (Peak 18.36M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.018
Fra:1 Mem:18.37M (Peak 18.37M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.019
Fra:1 Mem:18.37M (Peak 18.37M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.020
Fra:1 Mem:18.37M (Peak 18.37M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.021
Fra:1 Mem:18.37M (Peak 18.37M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.022
Fra:1 Mem:18.37M (Peak 18.37M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.023
Fra:1 Mem:18.37M (Peak 18.37M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.024
Fra:1 Mem:18.37M (Peak 18.37M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.025
Fra:1 Mem:18.38M (Peak 18.38M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.026
Fra:1 Mem:18.38M (Peak 18.38M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.027
Fra:1 Mem:18.38M (Peak 18.38M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.028
Fra:1 Mem:18.38M (Peak 18.38M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.030
Fra:1 Mem:18.38M (Peak 18.38M) | Time:00:00.10 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | wall_panel_star6.wall_panel.031
