Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:31:15)
Fra:1 Mem:64.71M (Peak 64.71M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.117
Fra:1 Mem:64.71M (Peak 64.71M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.118
Fra:1 Mem:64.71M (Peak 64.71M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.119
Fra:1 Mem:64.72M (Peak 64.72M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.121
Fra:1 Mem:64.72M (Peak 64.72M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.122
Fra:1 Mem:64.72M (Peak 64.72M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.123
Fra:1 Mem:64.73M (Peak 64.73M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.124
Fra:1 Mem:64.73M (Peak 64.73M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.126
Fra:1 Mem:64.73M (Peak 64.73M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.127
Fra:1 Mem:64.73M (Peak 64.73M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.129
Fra:1 Mem:64.73M (Peak 64.73M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.130
Fra:1 Mem:64.74M (Peak 64.74M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.133
Fra:1 Mem:64.74M (Peak 64.74M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.134
Fra:1 Mem:64.74M (Peak 64.74M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.135
Fra:1 Mem:64.74M (Peak 64.74M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.137
Fra:1 Mem:64.74M (Peak 64.74M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.138
Fra:1 Mem:64.75M (Peak 64.75M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.139
Fra:1 Mem:64.75M (Peak 64.75M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.141
Fra:1 Mem:64.75M (Peak 64.75M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.143
Fra:1 Mem:64.75M (Peak 64.75M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.145
Fra:1 Mem:64.75M (Peak 64.75M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.146
Fra:1 Mem:64.76M (Peak 64.76M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.148
Fra:1 Mem:64.76M (Peak 64.76M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.149
Fra:1 Mem:64.76M (Peak 64.76M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.151
Fra:1 Mem:64.76M (Peak 64.76M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.152
Fra:1 Mem:64.76M (Peak 64.76M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.153
Fra:1 Mem:64.76M (Peak 64.76M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.154
Fra:1 Mem:64.76M (Peak 64.76M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.155
Fra:1 Mem:64.76M (Peak 64.76M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.157
Fra:1 Mem:64.77M (Peak 64.77M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.158
Fra:1 Mem:64.77M (Peak 64.77M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.161
Fra:1 Mem:64.77M (Peak 64.77M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.163
Fra:1 Mem:64.78M (Peak 64.78M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.164
Fra:1 Mem:64.78M (Peak 64.78M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.166
Fra:1 Mem:64.78M (Peak 64.78M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.168
Fra:1 Mem:64.78M (Peak 64.78M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.169
Fra:1 Mem:64.78M (Peak 64.78M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.170
Fra:1 Mem:64.79M (Peak 64.79M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.171
Fra:1 Mem:64.79M (Peak 64.79M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.172
Fra:1 Mem:64.79M (Peak 64.79M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.173
Fra:1 Mem:64.79M (Peak 64.79M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.174
Fra:1 Mem:64.79M (Peak 64.79M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.176
Fra:1 Mem:64.79M (Peak 64.79M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.177
Fra:1 Mem:64.79M (Peak 64.79M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.178
Fra:1 Mem:64.80M (Peak 64.80M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.179
Fra:1 Mem:64.80M (Peak 64.80M) | Time:00:00.11 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | floor_tile_crypt.floor_tile.182
